,Sentences,Predicted Class,True Class,Probabilities
0,I got this gift for my wife and she loves it. Says it was a really good book that sucks you in.,positive,neutral,"[0.017194340005517006, 0.06696922332048416, 0.91583651304245]"
1,"Hopeless, a big mistake to make and then for me to buy.",negative,negative,"[0.8743581771850586, 0.11183584481477737, 0.013805985450744629]"
2,Not diggin' their new sound.,negative,negative,"[0.5732016563415527, 0.39566048979759216, 0.03113788738846779]"
3,I did &#34;plod&#34; on to the end of the book but I still wonder why?,neutral,negative,"[0.18172888457775116, 0.6287515163421631, 0.18951962888240814]"
4,"Own it, but won't read it as I don't care for the genre.",negative,negative,"[0.7036793828010559, 0.2743927836418152, 0.021927794441580772]"
5,I've really enjoyed this game!,positive,positive,"[0.016302820295095444, 0.04461176320910454, 0.9390854239463806]"
6,Great show for binge watching!,positive,positive,"[0.01502004824578762, 0.04656616225838661, 0.9384138584136963]"
7,"Not bad, good solid tour of Italy. Ending could have been more exciting....",neutral,neutral,"[0.03819970041513443, 0.5855874419212341, 0.3762128949165344]"
8,It was a gift for someone who likes the music,positive,neutral,"[0.03998977690935135, 0.22651809453964233, 0.7334921360015869]"
9,I enjoyed the story until the end and did not feel the ending fit the rest of the plot development.,neutral,negative,"[0.27391934394836426, 0.6961813569068909, 0.02989926189184189]"
10,This is a disturbing account of war.  National leaders might do well to read this.,negative,neutral,"[0.8204684257507324, 0.14779117703437805, 0.03174037113785744]"
11,Keeps shutting down. Not please with this app.,negative,neutral,"[0.9186334609985352, 0.06301519274711609, 0.018351344391703606]"
12,"Nicely written, good read. Would be liked by George Smiley fas.",positive,positive,"[0.02229224517941475, 0.2639659345149994, 0.7137417793273926]"
13,It wasn't great but deVito's performance as the villianous penguin is outstanding.,neutral,negative,"[0.046763379126787186, 0.6277209520339966, 0.3255156874656677]"
14,An okay movie to watch when there isn't anything else available,neutral,negative,"[0.0353785865008831, 0.5088187456130981, 0.4558025896549225]"
15,I liked the book but I believe it could use more action and details! BOOM SAUCE!  ;) ;) ;) :) :) :),neutral,neutral,"[0.0762261152267456, 0.5347406268119812, 0.3890332281589508]"
